iter	Passed	Remaining
685	97085	185961
686	97289	185940
687	97485	185902
688	97683	185868
689	97815	185706
690	97955	185563
691	98107	185440
692	98325	185442
693	98548	185452
694	98734	185392
695	98894	185284
696	99048	185165
697	99231	185098
698	99437	185075
699	99667	185096
700	99812	184959
701	99950	184808
702	100080	184643
703	100227	184509
704	100356	184343
705	100483	184172
706	100595	183974
707	100746	183848
708	100891	183710
709	101019	183543
710	101139	183359
711	101254	183168
712	101391	183016
713	101510	182832
714	101639	182666
715	101758	182482
716	101889	182320
717	101989	182103
718	102096	181898
719	102232	181746
720	102405	181659
721	102595	181602
722	102734	181455
723	102868	181298
724	103000	181139
725	103120	180957
726	103271	180830
727	103414	180692
728	103574	180580
729	103770	180532
730	103936	180431
731	104168	180445
732	104376	180415
733	104519	180275
734	104672	180150
735	104786	179959
736	104901	179769
737	105015	179578
738	105140	179407
739	105266	179236
740	105384	179054
741	105481	178835
742	105597	178648
743	105718	178470
744	105899	178393
745	106068	178297
746	106224	178178
747	106335	177983
748	106557	177975
749	106772	177953
750	106873	177742
751	106971	177527
752	107219	177559
753	107450	177563
754	107594	177424
755	107729	177269
756	107852	177095
757	107986	176938
758	108105	176757
759	108278	176665
760	108423	176525
761	108585	176416
762	108745	176301
763	108901	176180
764	109074	176088
765	109210	175934
766	109369	175817
767	109498	175654
768	109635	175501
769	109765	175339
770	109864	175127
771	109969	174925
772	110099	174763
773	110206	174565
774	110331	174394
775	110482	174265
776	110632	174136
777	110785	174010
778	110889	173808
779	111006	173625
780	111164	173508
781	111321	173387
782	111445	173216
783	111599	173093
784	111722	172921
785	111844	172746
786	111988	172607
787	112121	172451
788	112257	172298
789	112436	172213
790	112622	172137
791	112813	172068
792	112968	171945
793	113122	171820
794	113254	171662
795	113460	171616
796	113641	171532
797	113842	171476
798	113971	171313
799	114103	171155
800	114238	171001
801	114390	170872
802	114573	170789
803	114756	170707
804	114890	170551
805	115013	170379
806	115124	170190
807	115237	170003
808	115375	169854
809	115530	169730
810	115685	169605
811	115834	169471
812	115950	169290
813	116061	169102
814	116201	168955
815	116335	168800
816	116461	168634
817	116582	168460
818	116711	168297
819	116856	168159
820	117026	168055
821	117200	167959
822	117375	167862
823	117509	167707
824	117644	167554
825	117804	167437
826	117997	167365
827	118181	167280
828	118410	167260
829	118563	167131
830	118780	167093
831	118935	166967
832	119094	166846
833	119235	166700
834	119390	166575
835	119534	166433
836	119674	166286
837	119820	166147
838	119952	165989
839	120079	165824
840	120225	165684
841	120372	165547
842	120547	165449
843	120733	165364
844	120882	165230
845	121030	165093
846	121154	164924
847	121277	164754
848	121401	164586
849	121541	164437
850	121672	164279
851	121802	164119
852	121947	163978
853	122121	163877
854	122303	163787
855	122446	163643
856	122563	163465
857	122672	163277
858	122783	163092
859	122910	162928
860	123063	162797
861	123222	162676
862	123374	162545
863	123500	162380
864	123614	162199
865	123737	162030
866	123869	161873
867	123989	161700
868	124109	161527
